City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Prince Rupert,CA,2020-09-02 08:22:59,54.32,-130.32,55.4,93,90,4.7
261,Cidreira,BR,2020-09-02 08:24:34,-30.18,-50.21,62.49,85,99,22.95
262,Saurimo,AO,2020-09-02 08:24:34,-9.66,20.39,68.0,82,90,6.93
263,Verkhnetulomskiy,RU,2020-09-02 08:24:34,68.61,31.8,59.0,72,100,6.71
264,Tigil,RU,2020-09-02 08:24:34,57.8,158.67,48.74,66,100,8.93
265,Saldanha,ZA,2020-09-02 08:24:34,-33.01,17.94,55.4,80,75,23.04
266,Alegrete,BR,2020-09-02 08:24:35,-29.78,-55.79,59.23,91,100,12.73
267,General Bravo,MX,2020-09-02 08:24:35,25.8,-99.17,83.39,62,0,20.31
268,Andenes,NO,2020-09-02 08:24:35,69.31,16.12,55.4,76,75,14.99
269,Hasaki,JP,2020-09-02 08:23:52,35.73,140.83,84.0,88,75,6.93
270,Dongsheng,CN,2020-09-02 08:24:36,39.82,109.98,67.62,29,46,16.11
271,Kavaratti,IN,2020-09-02 08:24:36,10.57,72.64,82.4,83,90,11.41
272,Uribia,CO,2020-09-02 08:24:36,11.71,-72.27,81.61,79,91,3.62
273,Quelimane,MZ,2020-09-02 08:24:36,-17.88,36.89,77.0,73,40,6.93
274,Shimoda,JP,2020-09-02 08:24:36,34.67,138.95,84.2,83,75,9.17
275,Labuhan,ID,2020-09-02 08:24:37,-6.88,112.21,87.08,60,93,10.07
276,Halifax,CA,2020-09-02 08:20:02,44.65,-63.57,50.0,100,20,6.93
277,San Ramon,US,2020-09-02 08:23:26,37.78,-121.98,60.01,93,1,8.05
278,Half Moon Bay,US,2020-09-02 08:24:37,37.46,-122.43,61.0,87,90,5.82
279,Banjar,ID,2020-09-02 08:24:37,-8.19,114.97,84.2,83,40,13.87
280,Upernavik,GL,2020-09-02 08:24:38,72.79,-56.15,36.66,79,86,6.62
281,Serebryansk,KZ,2020-09-02 08:24:38,49.69,83.29,84.2,30,0,4.47
282,Kapoeta,SS,2020-09-02 08:24:38,4.77,33.59,84.29,44,0,21.54
283,Lata,PT,2020-09-02 08:24:38,40.16,-8.33,66.99,88,0,4.38
284,Roebourne,AU,2020-09-02 08:24:39,-20.78,117.13,84.87,29,0,15.01
285,Shirokiy,RU,2020-09-02 08:24:39,49.76,129.52,72.03,77,0,4.03
286,Karratha,AU,2020-09-02 08:24:39,-20.74,116.85,82.29,34,0,13.94
